C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:243: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  crop_idx = int(np.random.randint(0,7, 1))
iter: 1000, train loss: 4.210320472717285, lr: 0.010000000000000002
iter: 2000, train loss: 4.045476913452148, lr: 0.010000000000000002
iter: 3000, train loss: 3.3650898933410645, lr: 0.010000000000000002
iter: 4000, train loss: 3.077796220779419, lr: 0.010000000000000002
iter: 5000, train loss: 3.134695291519165, lr: 0.010000000000000002
iter: 6000, train loss: 2.6563305854797363, lr: 0.010000000000000002
iter: 7000, train loss: 2.5550243854522705, lr: 0.010000000000000002
iter: 8000, train loss: 2.726173162460327, lr: 0.010000000000000002
iter: 9000, train loss: 2.180220365524292, lr: 0.010000000000000002
iter: 10000, train loss: 2.1471800804138184, lr: 0.010000000000000002
count : 20109, accuracy : 38.85646931519555
iter: 11000, train loss: 2.2665092945098877, lr: 0.010000000000000002
iter: 12000, train loss: 2.1594059467315674, lr: 0.010000000000000002
iter: 13000, train loss: 1.819020390510559, lr: 0.010000000000000002
iter: 14000, train loss: 1.4805572032928467, lr: 0.010000000000000002
iter: 15000, train loss: 2.0456690788269043, lr: 0.010000000000000002
iter: 16000, train loss: 1.7166099548339844, lr: 0.010000000000000002
iter: 17000, train loss: 1.7791075706481934, lr: 0.010000000000000002
iter: 18000, train loss: 1.459977626800537, lr: 0.010000000000000002
iter: 19000, train loss: 1.4002007246017456, lr: 0.010000000000000002
iter: 20000, train loss: 1.472353458404541, lr: 0.010000000000000002
count : 25434, accuracy : 49.14592672746947
iter: 21000, train loss: 1.5033687353134155, lr: 0.010000000000000002
iter: 22000, train loss: 1.3731639385223389, lr: 0.010000000000000002
iter: 23000, train loss: 1.3384288549423218, lr: 0.010000000000000002
iter: 24000, train loss: 1.9290004968643188, lr: 0.010000000000000002
iter: 25000, train loss: 0.787089467048645, lr: 0.010000000000000002
iter: 26000, train loss: 1.3218803405761719, lr: 0.010000000000000002
iter: 27000, train loss: 1.192000389099121, lr: 0.010000000000000002
iter: 28000, train loss: 0.9465380311012268, lr: 0.010000000000000002
iter: 29000, train loss: 1.116586446762085, lr: 0.010000000000000002
iter: 30000, train loss: 1.1969064474105835, lr: 0.010000000000000002
count : 27531, accuracy : 53.19794404081002
iter: 31000, train loss: 1.0300798416137695, lr: 0.010000000000000002
iter: 32000, train loss: 0.9788748025894165, lr: 0.010000000000000002
iter: 33000, train loss: 1.009374737739563, lr: 0.010000000000000002
iter: 34000, train loss: 0.8152342438697815, lr: 0.010000000000000002
iter: 35000, train loss: 1.1135159730911255, lr: 0.010000000000000002
iter: 36000, train loss: 1.050285816192627, lr: 0.010000000000000002
iter: 37000, train loss: 1.234399437904358, lr: 0.010000000000000002
iter: 38000, train loss: 1.0184155702590942, lr: 0.010000000000000002
iter: 39000, train loss: 1.02310311794281, lr: 0.010000000000000002
iter: 40000, train loss: 0.8138495683670044, lr: 0.010000000000000002
count : 28129, accuracy : 54.353454938939564
iter: 41000, train loss: 0.9129828214645386, lr: 0.010000000000000002
iter: 42000, train loss: 0.566622257232666, lr: 0.010000000000000002
iter: 43000, train loss: 0.8460528254508972, lr: 0.010000000000000002
iter: 44000, train loss: 0.8807130455970764, lr: 0.010000000000000002
iter: 45000, train loss: 0.4029979407787323, lr: 0.010000000000000002
iter: 46000, train loss: 0.4518214762210846, lr: 0.010000000000000002
iter: 47000, train loss: 0.8359792232513428, lr: 0.010000000000000002
iter: 48000, train loss: 0.6399470567703247, lr: 0.010000000000000002
iter: 49000, train loss: 0.3584972321987152, lr: 0.010000000000000002
iter: 50000, train loss: 0.5711396336555481, lr: 0.0010000000000000002
count : 28309, accuracy : 54.701267583861494
iter: 51000, train loss: 0.4671604037284851, lr: 0.0010000000000000002
iter: 52000, train loss: 0.31277671456336975, lr: 0.0010000000000000002
iter: 53000, train loss: 0.3660166263580322, lr: 0.0010000000000000002
iter: 54000, train loss: 0.2723662257194519, lr: 0.0010000000000000002
iter: 55000, train loss: 0.3421812355518341, lr: 0.0010000000000000002
iter: 56000, train loss: 0.1052871122956276, lr: 0.0010000000000000002
iter: 57000, train loss: 0.27226412296295166, lr: 0.0010000000000000002
iter: 58000, train loss: 0.2802305221557617, lr: 0.0010000000000000002
iter: 59000, train loss: 0.29581600427627563, lr: 0.0010000000000000002
iter: 60000, train loss: 0.2598271071910858, lr: 0.0010000000000000002
count : 31454, accuracy : 60.778327407636425
iter: 61000, train loss: 0.27134639024734497, lr: 0.0010000000000000002
iter: 62000, train loss: 0.19319914281368256, lr: 0.0010000000000000002
iter: 63000, train loss: 0.14953477680683136, lr: 0.0010000000000000002
iter: 64000, train loss: 0.2823871970176697, lr: 0.0010000000000000002
iter: 65000, train loss: 0.2188372164964676, lr: 0.0010000000000000002
iter: 66000, train loss: 0.13723930716514587, lr: 0.0010000000000000002
iter: 67000, train loss: 0.14846228063106537, lr: 0.0010000000000000002
iter: 68000, train loss: 0.13571657240390778, lr: 0.0010000000000000002
iter: 69000, train loss: 0.13218462467193604, lr: 0.0010000000000000002
iter: 70000, train loss: 0.12508326768875122, lr: 0.0010000000000000002
count : 31347, accuracy : 60.57157211315505
iter: 71000, train loss: 0.19607862830162048, lr: 0.0010000000000000002
iter: 72000, train loss: 0.0918378233909607, lr: 0.0010000000000000002
iter: 73000, train loss: 0.09428588300943375, lr: 0.0010000000000000002
iter: 74000, train loss: 0.23855045437812805, lr: 0.0010000000000000002
iter: 75000, train loss: 0.11086771637201309, lr: 0.0010000000000000002
iter: 76000, train loss: 0.1401958465576172, lr: 0.0010000000000000002
iter: 77000, train loss: 0.15808236598968506, lr: 0.0010000000000000002
iter: 78000, train loss: 0.18442633748054504, lr: 0.0010000000000000002
iter: 79000, train loss: 0.14532750844955444, lr: 0.0010000000000000002
iter: 80000, train loss: 0.10211591422557831, lr: 0.0010000000000000002
count : 31347, accuracy : 60.57157211315505
iter: 81000, train loss: 0.12029135972261429, lr: 0.0010000000000000002
iter: 82000, train loss: 0.0878586694598198, lr: 0.0010000000000000002
iter: 83000, train loss: 0.18766529858112335, lr: 0.0010000000000000002
iter: 84000, train loss: 0.04727480560541153, lr: 0.0010000000000000002
iter: 85000, train loss: 0.0893038883805275, lr: 0.0010000000000000002
iter: 86000, train loss: 0.03614230453968048, lr: 0.0010000000000000002
iter: 87000, train loss: 0.050608210265636444, lr: 0.0010000000000000002
iter: 88000, train loss: 0.11404122412204742, lr: 0.0010000000000000002
iter: 89000, train loss: 0.10291457921266556, lr: 0.0010000000000000002
iter: 90000, train loss: 0.09257519990205765, lr: 0.0010000000000000002
count : 31295, accuracy : 60.47109290462205
iter: 91000, train loss: 0.05321744456887245, lr: 0.0010000000000000002
iter: 92000, train loss: 0.07657787203788757, lr: 0.0010000000000000002
iter: 93000, train loss: 0.12606103718280792, lr: 0.0010000000000000002
iter: 94000, train loss: 0.03646126389503479, lr: 0.0010000000000000002
iter: 95000, train loss: 0.07964424788951874, lr: 0.0010000000000000002
iter: 96000, train loss: 0.11865263432264328, lr: 0.0010000000000000002
iter: 97000, train loss: 0.03687498718500137, lr: 0.0010000000000000002
iter: 98000, train loss: 0.04670000076293945, lr: 0.0010000000000000002
iter: 99000, train loss: 0.04907240346074104, lr: 0.0010000000000000002
iter: 100000, train loss: 0.09635221213102341, lr: 0.00010000000000000003
count : 31306, accuracy : 60.49234812181171
iter: 101000, train loss: 0.06562763452529907, lr: 0.00010000000000000003
iter: 102000, train loss: 0.03645952790975571, lr: 0.00010000000000000003
iter: 103000, train loss: 0.06514041125774384, lr: 0.00010000000000000003
iter: 104000, train loss: 0.06077016144990921, lr: 0.00010000000000000003
iter: 105000, train loss: 0.13819293677806854, lr: 0.00010000000000000003
iter: 106000, train loss: 0.13368181884288788, lr: 0.00010000000000000003
iter: 107000, train loss: 0.0706130862236023, lr: 0.00010000000000000003
iter: 108000, train loss: 0.10296587646007538, lr: 0.00010000000000000003
iter: 109000, train loss: 0.0802600309252739, lr: 0.00010000000000000003
iter: 110000, train loss: 0.13241703808307648, lr: 0.00010000000000000003
count : 31254, accuracy : 60.391868913278714
iter: 111000, train loss: 0.04444757103919983, lr: 0.00010000000000000003
iter: 112000, train loss: 0.04350944235920906, lr: 0.00010000000000000003
iter: 113000, train loss: 0.08157539367675781, lr: 0.00010000000000000003
iter: 114000, train loss: 0.03325551003217697, lr: 0.00010000000000000003
iter: 115000, train loss: 0.04619096964597702, lr: 0.00010000000000000003
iter: 116000, train loss: 0.1132286936044693, lr: 0.00010000000000000003
iter: 117000, train loss: 0.05357804149389267, lr: 0.00010000000000000003
iter: 118000, train loss: 0.07513134181499481, lr: 0.00010000000000000003
iter: 119000, train loss: 0.0692838728427887, lr: 0.00010000000000000003
iter: 120000, train loss: 0.07659518718719482, lr: 0.00010000000000000003
count : 31326, accuracy : 60.53099397124749
iter: 121000, train loss: 0.07032012939453125, lr: 0.00010000000000000003
iter: 122000, train loss: 0.06895797699689865, lr: 0.00010000000000000003
iter: 123000, train loss: 0.04658101126551628, lr: 0.00010000000000000003
iter: 124000, train loss: 0.07677844166755676, lr: 0.00010000000000000003
iter: 125000, train loss: 0.04254090413451195, lr: 0.00010000000000000003
iter: 126000, train loss: 0.07486601918935776, lr: 0.00010000000000000003
iter: 127000, train loss: 0.026834627613425255, lr: 0.00010000000000000003
iter: 128000, train loss: 0.05482359975576401, lr: 0.00010000000000000003
iter: 129000, train loss: 0.08174601197242737, lr: 0.00010000000000000003
iter: 130000, train loss: 0.15080927312374115, lr: 0.00010000000000000003
count : 31340, accuracy : 60.55804606585252
iter: 131000, train loss: 0.049597691744565964, lr: 0.00010000000000000003
iter: 132000, train loss: 0.03182131424546242, lr: 0.00010000000000000003
iter: 133000, train loss: 0.06632795929908752, lr: 0.00010000000000000003
iter: 134000, train loss: 0.10320883244276047, lr: 0.00010000000000000003
iter: 135000, train loss: 0.05719068646430969, lr: 0.00010000000000000003
iter: 136000, train loss: 0.03953363746404648, lr: 0.00010000000000000003
iter: 137000, train loss: 0.0476418100297451, lr: 0.00010000000000000003
iter: 138000, train loss: 0.07277796417474747, lr: 0.00010000000000000003
iter: 139000, train loss: 0.036963388323783875, lr: 0.00010000000000000003
iter: 140000, train loss: 0.0313846692442894, lr: 0.00010000000000000003
count : 31289, accuracy : 60.459499149791306
iter: 141000, train loss: 0.04961834102869034, lr: 0.00010000000000000003
iter: 142000, train loss: 0.06642622500658035, lr: 0.00010000000000000003
iter: 143000, train loss: 0.06783747673034668, lr: 0.00010000000000000003
iter: 144000, train loss: 0.07327190041542053, lr: 0.00010000000000000003
iter: 145000, train loss: 0.07935937494039536, lr: 0.00010000000000000003
iter: 146000, train loss: 0.028484998270869255, lr: 0.00010000000000000003
iter: 147000, train loss: 0.04614880681037903, lr: 0.00010000000000000003
iter: 148000, train loss: 0.018686838448047638, lr: 0.00010000000000000003
iter: 149000, train loss: 0.19327092170715332, lr: 0.00010000000000000003
iter: 150000, train loss: 0.06545516103506088, lr: 1.0000000000000004e-05
count : 31307, accuracy : 60.49428041428351
iter: 151000, train loss: 0.10064936429262161, lr: 1.0000000000000004e-05
iter: 152000, train loss: 0.09451603144407272, lr: 1.0000000000000004e-05
iter: 153000, train loss: 0.047116968780756, lr: 1.0000000000000004e-05
iter: 154000, train loss: 0.03538328781723976, lr: 1.0000000000000004e-05
iter: 155000, train loss: 0.028773007914423943, lr: 1.0000000000000004e-05
iter: 156000, train loss: 0.09725616872310638, lr: 1.0000000000000004e-05
iter: 157000, train loss: 0.028000930324196815, lr: 1.0000000000000004e-05
iter: 158000, train loss: 0.07395631819963455, lr: 1.0000000000000004e-05
iter: 159000, train loss: 0.05705884099006653, lr: 1.0000000000000004e-05
iter: 160000, train loss: 0.055997077375650406, lr: 1.0000000000000004e-05
count : 31298, accuracy : 60.47688978203741
iter: 161000, train loss: 0.055835042148828506, lr: 1.0000000000000004e-05
iter: 162000, train loss: 0.04401309788227081, lr: 1.0000000000000004e-05
iter: 163000, train loss: 0.03173854202032089, lr: 1.0000000000000004e-05
iter: 164000, train loss: 0.09898728877305984, lr: 1.0000000000000004e-05
iter: 165000, train loss: 0.054717157036066055, lr: 1.0000000000000004e-05
iter: 166000, train loss: 0.03460262343287468, lr: 1.0000000000000004e-05
iter: 167000, train loss: 0.03098815679550171, lr: 1.0000000000000004e-05
iter: 168000, train loss: 0.05885988846421242, lr: 1.0000000000000004e-05
iter: 169000, train loss: 0.03686905279755592, lr: 1.0000000000000004e-05
iter: 170000, train loss: 0.03010598197579384, lr: 1.0000000000000004e-05
count : 31290, accuracy : 60.461431442263105
iter: 171000, train loss: 0.04842864349484444, lr: 1.0000000000000004e-05
iter: 172000, train loss: 0.11082280427217484, lr: 1.0000000000000004e-05
iter: 173000, train loss: 0.042812928557395935, lr: 1.0000000000000004e-05
iter: 174000, train loss: 0.06489261239767075, lr: 1.0000000000000004e-05
iter: 175000, train loss: 0.11676691472530365, lr: 1.0000000000000004e-05
iter: 176000, train loss: 0.06758493930101395, lr: 1.0000000000000004e-05
iter: 177000, train loss: 0.025862619280815125, lr: 1.0000000000000004e-05
iter: 178000, train loss: 0.08517640084028244, lr: 1.0000000000000004e-05
iter: 179000, train loss: 0.07498873770236969, lr: 1.0000000000000004e-05
iter: 180000, train loss: 0.034378573298454285, lr: 1.0000000000000004e-05
count : 31305, accuracy : 60.49041582933993
iter: 181000, train loss: 0.04912135377526283, lr: 1.0000000000000004e-05
iter: 182000, train loss: 0.12056416273117065, lr: 1.0000000000000004e-05
iter: 183000, train loss: 0.03802568092942238, lr: 1.0000000000000004e-05
iter: 184000, train loss: 0.05885687097907066, lr: 1.0000000000000004e-05
iter: 185000, train loss: 0.0527799129486084, lr: 1.0000000000000004e-05
iter: 186000, train loss: 0.08839233219623566, lr: 1.0000000000000004e-05
iter: 187000, train loss: 0.0215225238353014, lr: 1.0000000000000004e-05
iter: 188000, train loss: 0.06972679495811462, lr: 1.0000000000000004e-05
iter: 189000, train loss: 0.024837566539645195, lr: 1.0000000000000004e-05
iter: 190000, train loss: 0.04313207417726517, lr: 1.0000000000000004e-05
count : 31326, accuracy : 60.53099397124749
iter: 191000, train loss: 0.06298908591270447, lr: 1.0000000000000004e-05
iter: 192000, train loss: 0.04242859035730362, lr: 1.0000000000000004e-05
iter: 193000, train loss: 0.034814346581697464, lr: 1.0000000000000004e-05
iter: 194000, train loss: 0.03516530990600586, lr: 1.0000000000000004e-05
iter: 195000, train loss: 0.03368625044822693, lr: 1.0000000000000004e-05
iter: 196000, train loss: 0.03882266953587532, lr: 1.0000000000000004e-05
iter: 197000, train loss: 0.0771888792514801, lr: 1.0000000000000004e-05
iter: 198000, train loss: 0.05909208208322525, lr: 1.0000000000000004e-05
iter: 199000, train loss: 0.07441739737987518, lr: 1.0000000000000004e-05

Process finished with exit code 0
