C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\vgg.py 
C:\Users\AIVS\PycharmProjects\tmo\vgg.py:370: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 84000, train loss: 0.9528244137763977, lr: 0.0010000000000000002
iter: 85000, train loss: 1.3279285430908203, lr: 0.0010000000000000002
iter: 86000, train loss: 1.2158939838409424, lr: 0.0010000000000000002
iter: 87000, train loss: 1.0145878791809082, lr: 0.0010000000000000002
iter: 88000, train loss: 1.4682878255844116, lr: 0.0010000000000000002
iter: 89000, train loss: 1.047512173652649, lr: 0.0010000000000000002
iter: 90000, train loss: 1.1790399551391602, lr: 0.0010000000000000002
count : 25624, accuracy : 49.513062297109286
iter: 91000, train loss: 1.23329758644104, lr: 0.0010000000000000002
iter: 92000, train loss: 0.9632188677787781, lr: 0.0010000000000000002
iter: 93000, train loss: 0.9526301622390747, lr: 0.0010000000000000002
iter: 94000, train loss: 1.2177836894989014, lr: 0.0010000000000000002
iter: 95000, train loss: 0.8745394349098206, lr: 0.0010000000000000002
iter: 96000, train loss: 1.167465090751648, lr: 0.0010000000000000002
iter: 97000, train loss: 1.2499808073043823, lr: 0.0010000000000000002
iter: 98000, train loss: 1.0201460123062134, lr: 0.0010000000000000002
iter: 99000, train loss: 1.277135968208313, lr: 0.0010000000000000002
iter: 100000, train loss: 0.9693781733512878, lr: 0.00010000000000000003
count : 25507, accuracy : 49.286984077910034
iter: 101000, train loss: 1.2629450559616089, lr: 0.00010000000000000003
iter: 102000, train loss: 0.9042071104049683, lr: 0.00010000000000000003
iter: 103000, train loss: 0.8039166927337646, lr: 0.00010000000000000003
iter: 104000, train loss: 1.2119123935699463, lr: 0.00010000000000000003
iter: 105000, train loss: 1.0106382369995117, lr: 0.00010000000000000003
iter: 106000, train loss: 0.9035606980323792, lr: 0.00010000000000000003
iter: 107000, train loss: 0.9841179251670837, lr: 0.00010000000000000003
iter: 108000, train loss: 1.13063383102417, lr: 0.00010000000000000003
iter: 109000, train loss: 0.7370029091835022, lr: 0.00010000000000000003
iter: 110000, train loss: 0.8421452045440674, lr: 0.00010000000000000003
count : 25927, accuracy : 50.09854691606122
iter: 111000, train loss: 0.9444684386253357, lr: 0.00010000000000000003
iter: 112000, train loss: 1.1705026626586914, lr: 0.00010000000000000003
iter: 113000, train loss: 1.1058729887008667, lr: 0.00010000000000000003
iter: 114000, train loss: 0.8273426294326782, lr: 0.00010000000000000003
iter: 115000, train loss: 0.8473087549209595, lr: 0.00010000000000000003
iter: 116000, train loss: 1.0607777833938599, lr: 0.00010000000000000003
iter: 117000, train loss: 1.293533205986023, lr: 0.00010000000000000003
iter: 118000, train loss: 0.8244948983192444, lr: 0.00010000000000000003
iter: 119000, train loss: 1.0460742712020874, lr: 0.00010000000000000003
iter: 120000, train loss: 1.2445296049118042, lr: 0.00010000000000000003
count : 25877, accuracy : 50.001932292471786
iter: 121000, train loss: 1.0255167484283447, lr: 0.00010000000000000003
iter: 122000, train loss: 0.9918593168258667, lr: 0.00010000000000000003
iter: 123000, train loss: 1.596898078918457, lr: 0.00010000000000000003
iter: 124000, train loss: 0.8034359812736511, lr: 0.00010000000000000003
iter: 125000, train loss: 0.7676500082015991, lr: 0.00010000000000000003
iter: 126000, train loss: 0.9801009297370911, lr: 0.00010000000000000003
iter: 127000, train loss: 1.2466251850128174, lr: 0.00010000000000000003
iter: 128000, train loss: 1.3560352325439453, lr: 0.00010000000000000003
iter: 129000, train loss: 0.8708436489105225, lr: 0.00010000000000000003
iter: 130000, train loss: 1.2446943521499634, lr: 0.00010000000000000003
count : 25921, accuracy : 50.08695316123048
iter: 131000, train loss: 0.7529277801513672, lr: 0.00010000000000000003
iter: 132000, train loss: 0.8385920524597168, lr: 0.00010000000000000003
iter: 133000, train loss: 1.2608363628387451, lr: 0.00010000000000000003
iter: 134000, train loss: 1.0234103202819824, lr: 0.00010000000000000003
iter: 135000, train loss: 1.0660780668258667, lr: 0.00010000000000000003
iter: 136000, train loss: 1.0503066778182983, lr: 0.00010000000000000003
iter: 137000, train loss: 1.0559468269348145, lr: 0.00010000000000000003
iter: 138000, train loss: 0.8850017786026001, lr: 0.00010000000000000003
iter: 139000, train loss: 0.878791332244873, lr: 0.00010000000000000003
iter: 140000, train loss: 1.2741426229476929, lr: 0.00010000000000000003
count : 25835, accuracy : 49.92077600865667
iter: 141000, train loss: 0.8539389967918396, lr: 0.00010000000000000003
iter: 142000, train loss: 0.906046450138092, lr: 0.00010000000000000003
iter: 143000, train loss: 0.7770753502845764, lr: 0.00010000000000000003
iter: 144000, train loss: 0.9143097996711731, lr: 0.00010000000000000003
iter: 145000, train loss: 1.115776538848877, lr: 0.00010000000000000003
iter: 146000, train loss: 1.006864070892334, lr: 0.00010000000000000003
iter: 147000, train loss: 0.7757940292358398, lr: 0.00010000000000000003
iter: 148000, train loss: 1.1699966192245483, lr: 0.00010000000000000003
iter: 149000, train loss: 1.2235710620880127, lr: 0.00010000000000000003
iter: 150000, train loss: 1.211441159248352, lr: 1.0000000000000004e-05
count : 25825, accuracy : 49.90145308393878
iter: 151000, train loss: 0.9568368196487427, lr: 1.0000000000000004e-05
iter: 152000, train loss: 0.9383629560470581, lr: 1.0000000000000004e-05
iter: 153000, train loss: 0.969735860824585, lr: 1.0000000000000004e-05
iter: 154000, train loss: 1.2270034551620483, lr: 1.0000000000000004e-05
iter: 155000, train loss: 1.082650065422058, lr: 1.0000000000000004e-05
iter: 156000, train loss: 0.8588650822639465, lr: 1.0000000000000004e-05
iter: 157000, train loss: 0.6962525844573975, lr: 1.0000000000000004e-05
iter: 158000, train loss: 1.1017615795135498, lr: 1.0000000000000004e-05
iter: 159000, train loss: 0.8689298629760742, lr: 1.0000000000000004e-05
iter: 160000, train loss: 1.1059753894805908, lr: 1.0000000000000004e-05
count : 25857, accuracy : 49.96328644303602
iter: 161000, train loss: 0.91437166929245, lr: 1.0000000000000004e-05
iter: 162000, train loss: 1.113259196281433, lr: 1.0000000000000004e-05
iter: 163000, train loss: 1.1698360443115234, lr: 1.0000000000000004e-05
iter: 164000, train loss: 0.8123551607131958, lr: 1.0000000000000004e-05
