C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:569: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 84000, train loss: 0.08044691383838654, lr: 0.0010000000000000002
iter: 85000, train loss: 0.07076253741979599, lr: 0.0010000000000000002
iter: 86000, train loss: 0.04133351519703865, lr: 0.0010000000000000002
iter: 87000, train loss: 0.025841565802693367, lr: 0.0010000000000000002
iter: 88000, train loss: 0.04023762792348862, lr: 0.0010000000000000002
iter: 89000, train loss: 0.11454293131828308, lr: 0.0010000000000000002
iter: 90000, train loss: 0.06204728037118912, lr: 0.0010000000000000002
count : 31729, accuracy : 61.30970783737827
iter: 91000, train loss: 0.0658537968993187, lr: 0.0010000000000000002
iter: 92000, train loss: 0.0739729255437851, lr: 0.0010000000000000002
iter: 93000, train loss: 0.10671038925647736, lr: 0.0010000000000000002
iter: 94000, train loss: 0.04114489629864693, lr: 0.0010000000000000002
iter: 95000, train loss: 0.057962361723184586, lr: 0.0010000000000000002
iter: 96000, train loss: 0.01941262185573578, lr: 0.0010000000000000002
iter: 97000, train loss: 0.02451605349779129, lr: 0.0010000000000000002
iter: 98000, train loss: 0.08212406188249588, lr: 0.0010000000000000002
iter: 99000, train loss: 0.049780409783124924, lr: 0.0010000000000000002
iter: 100000, train loss: 0.08593834936618805, lr: 0.00010000000000000003
count : 31793, accuracy : 61.433374555572726
iter: 101000, train loss: 0.014580896124243736, lr: 0.00010000000000000003
iter: 102000, train loss: 0.044401779770851135, lr: 0.00010000000000000003
iter: 103000, train loss: 0.0777304619550705, lr: 0.00010000000000000003
iter: 104000, train loss: 0.07323645800352097, lr: 0.00010000000000000003
iter: 105000, train loss: 0.039436325430870056, lr: 0.00010000000000000003
iter: 106000, train loss: 0.012078680098056793, lr: 0.00010000000000000003
iter: 107000, train loss: 0.014838522300124168, lr: 0.00010000000000000003
iter: 108000, train loss: 0.13642588257789612, lr: 0.00010000000000000003
iter: 109000, train loss: 0.005226765759289265, lr: 0.00010000000000000003
iter: 110000, train loss: 0.020803233608603477, lr: 0.00010000000000000003
count : 31870, accuracy : 61.582161075900444
iter: 111000, train loss: 0.010037904605269432, lr: 0.00010000000000000003
